Designator,Mid X,Mid Y,Rotation,Layer
D1,147.808415,-62.359479,270.0,top
D10,109.702264,-90.985175,90.0,top
D11,147.808417,-100.45948,270.0,top
D12,128.758417,-105.22198,270.0,top
D13,166.858417,-105.221979,270.0,top
D14,185.908416,-105.22198,270.0,top
D15,109.708416,-109.984479,270.0,top
D16,145.412264,-124.565176,90.0,top
D17,166.858416,-124.345176,90.0,top
D18,185.882264,-124.345176,90.0,top
D2,128.758415,-67.121979,270.0,top
D3,166.858417,-67.121979,270.0,top
D4,184.47049,-71.606444,270.0,top
D5,109.708415,-71.884478,270.0,top
D6,147.78049,-80.656444,90.0,top
D7,128.732264,-86.155175,90.0,top
D8,166.852264,-86.155175,90.0,top
D9,184.72049,-90.886444,90.0,top
SW1,176.07049,-55.836444,0.0,top
